Date,Open,High,Low,Close,Volume
2016-01-29,365.25,372.5,365.0,372.0,220973
2016-02-01,371.0,371.75,367.75,371.25,144223
2016-02-02,371.25,373.75,369.0,372.5,203481
2016-02-03,372.0,373.25,370.25,371.0,156546
2016-02-04,371.0,373.5,368.0,368.5,181870
2016-02-05,369.0,369.5,365.5,365.75,232059
2016-02-08,366.0,367.0,361.5,362.25,222967
2016-02-09,362.25,362.75,359.25,361.0,262404
2016-02-10,361.0,361.75,359.25,360.25,148373
2016-02-11,360.0,363.25,358.5,360.25,219260
2016-02-12,361.0,362.0,358.25,358.75,183832
2016-02-16,359.75,363.5,359.0,363.0,213497
2016-02-17,362.75,367.5,362.0,367.25,174335
2016-02-18,367.0,368.0,365.25,365.5,231650
2016-02-19,365.25,367.5,364.75,365.5,197441
2016-02-22,366.5,369.25,366.25,367.5,218973
2016-02-23,367.0,367.25,361.5,362.0,127839
2016-02-24,362.0,362.75,358.75,359.75,170408
2016-02-25,359.75,361.5,355.0,355.5,147056
2016-02-26,355.5,356.25,352.5,354.5,120564
2016-02-29,355.0,357.0,353.0,353.5,23036
2016-03-01,353.5,355.0,353.0,353.75,11130
2016-03-02,353.75,355.5,352.5,354.5,2360
2016-03-03,354.0,355.5,351.75,353.75,4106
2016-03-04,354.0,357.75,353.5,354.5,2335
2016-03-07,357.5,358.5,354.5,355.0,1174
2016-03-08,355.0,361.0,354.25,358.75,1194
2016-03-09,358.75,360.0,356.0,359.0,1749
2016-03-10,358.5,363.0,357.75,362.5,800
2016-03-11,362.5,366.25,362.25,366.0,1779
2016-03-14,366.0,367.75,364.25,366.75,159819
2016-03-15,367.75,369.25,366.25,368.5,111210
2016-03-16,367.75,368.5,366.0,368.25,104231
2016-03-17,368.25,372.0,366.5,368.5,197301
2016-03-18,368.0,369.25,366.0,367.0,96097
